Produit;Type;Date de vente;CA (€);Quantité (kg);Prix/kg (€)
Kiwis;Fruit exotique;2025-01-04;177,51;30,5;5,82
Poires;Fruit à pépins;2025-01-04;156,44;33,5;4,67
Kiwis;Fruit exotique;2025-01-06;72,14;17,9;4,03
Bananes;Fruit tropical;2025-01-09;133,98;38,5;3,48
Poires;Fruit à pépins;2025-01-11;188,73;47,9;3,94
Raisins;Fruit de saison;2025-01-14;59,81;8,4;7,12
Fraises;Fruit rouge;2025-01-14;304,56;42,3;7,2
Pommes;Fruit à pépins;2025-01-14;48,14;14,2;3,39
Bananes;Fruit tropical;2025-01-15;18,6;7,5;2,48
Pêches;Fruit de saison;2025-01-16;11,97;1,9;6,3
Fraises;Fruit rouge;2025-01-16;184,81;30,7;6,02
Ananas;Fruit tropical;2025-01-17;21,84;4,8;4,55
Bananes;Fruit tropical;2025-01-17;29,0;9,7;2,99
Bananes;Fruit tropical;2025-01-18;21,25;6,6;3,22
Fraises;Fruit rouge;2025-01-19;234,27;34,3;6,83
Oranges;Agrume;2025-01-21;102,91;38,4;2,68
Bananes;Fruit tropical;2025-01-21;85,35;32,7;2,61
Mangues;Fruit tropical;2025-01-22;191,39;29,4;6,51
Pêches;Fruit de saison;2025-01-23;101,3;21,6;4,69
Mangues;Fruit tropical;2025-01-24;348,34;47,2;7,38
Ananas;Fruit tropical;2025-01-25;133,03;24,1;5,52
Ananas;Fruit tropical;2025-01-26;193,31;26,3;7,35
Abricots;Fruit de saison;2025-01-27;264,26;48,4;5,46
Kiwis;Fruit exotique;2025-01-30;124,58;31,7;3,93
Poires;Fruit à pépins;2025-01-30;134,37;34,9;3,85
Mangues;Fruit tropical;2025-01-31;316,01;39,8;7,94
Kiwis;Fruit exotique;2025-01-31;131,32;25,4;5,17
Pêches;Fruit de saison;2025-02-01;129,79;25,6;5,07
Melons;Fruit d’été;2025-02-02;94,58;34,9;2,71
Pêches;Fruit de saison;2025-02-03;70,18;15,7;4,47
Mangues;Fruit tropical;2025-02-05;259,46;30,1;8,62
